id,course_id,course_name,course_dept_id,credits,lecture_hours,practical_hours,tutorial_hours,regulation,course_type,REGULATION,Year,SEMESTER,for_dept,teaching_dept
296,EC23431,Analog Circuits-II,Electronics & Communication Engineering,4,3,2,0,2023,LOT,2023,2,4,Electronics & Communication Engineering,Electronics & Communication Engineering
297,EC23511,Control System Engineering,Electronics & Communication Engineering,3,2,0,1,2023,Theory,2023,3,5,Electronics & Communication Engineering,Electronics & Communication Engineering
298,EC23512,Modern Digital Communication,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,3,5,Electronics & Communication Engineering,Electronics & Communication Engineering
299,EC23521,Communication Systems Laboratory,Electronics & Communication Engineering,2,0,4,0,2023,Laboratory,2023,3,5,Electronics & Communication Engineering,Electronics & Communication Engineering
300,EC23522,Industrial Internship,Electronics & Communication Engineering,1,0,2,0,2023,Laboratory,2023,3,5,Electronics & Communication Engineering,Electronics & Communication Engineering
301,EC23531,Digital Signal Processing,Electronics & Communication Engineering,4,2,2,1,2023,LOT,2023,3,5,Electronics & Communication Engineering,Electronics & Communication Engineering
302,EC23611,Antenna Theory and Wave Propagation,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,3,6,Electronics & Communication Engineering,Electronics & Communication Engineering
303,EC23621,Design Thinking for Innovation in ECE,Electronics & Communication Engineering,2,0,4,0,2023,Laboratory,2023,3,6,Electronics & Communication Engineering,Electronics & Communication Engineering
304,EC23631,VLSI and Chip Design,Electronics & Communication Engineering,4,3,2,0,2023,LOT,2023,3,6,Electronics & Communication Engineering,Electronics & Communication Engineering
305,EC23632,Communication Networks,Electronics & Communication Engineering,4,3,2,0,2023,LOT,2023,3,6,Electronics & Communication Engineering,Electronics & Communication Engineering
306,EC23633,Wireless Communication,Electronics & Communication Engineering,3,2,2,0,2023,LOT,2023,3,6,Electronics & Communication Engineering,Electronics & Communication Engineering
307,EC23721,Artificial Intelligence and Machine Learning for Electronic Engineering,Electronics & Communication Engineering,2,0,4,0,2023,Laboratory,2023,4,7,Electronics & Communication Engineering,Electronics & Communication Engineering
308,EC23731,Optical Communication and Networks,Electronics & Communication Engineering,3,2,2,0,2023,LOT,2023,4,7,Electronics & Communication Engineering,Electronics & Communication Engineering
309,EC23732,RF and Microwave Engineering,Electronics & Communication Engineering,3,2,2,0,2023,LOT,2023,4,7,Electronics & Communication Engineering,Electronics & Communication Engineering
310,EC23733,Embedded and Real Time Systems,Electronics & Communication Engineering,4,3,2,0,2023,LOT,2023,4,7,Electronics & Communication Engineering,Electronics & Communication Engineering
311,EC23821,Project Work,Electronics & Communication Engineering,10,0,20,0,2023,Laboratory,2023,4,8,Mechanical Engineering,Mechanical Engineering
312,EE23131,Principles of Electrical Engineering,Electrical & Electronics Engineering,3,2,2,0,2023,LOT,2023,1,1,Computer Science & Business Systems,Electrical & Electronics Engineering
313,EE23132,Basic Electrical Engineering,Electrical & Electronics Engineering,4,3,2,0,2023,LOT,2023,1,1,Robotics & Automation,Electrical & Electronics Engineering
314,EE23133,Basic Electrical and Electronics Engineering,Electrical & Electronics Engineering,4,3,2,0,2023,LOT,2023,1,1,Information Technology,Electrical & Electronics Engineering
315,EE23212,Electric Circuits,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,1,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering
316,EE23221,Electric Circuits Laboratory,Electrical & Electronics Engineering,1,0,2,0,2023,Laboratory,2023,1,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering
317,EE23311,Electromagnetic Theory,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,2,3,Electrical & Electronics Engineering,Electrical & Electronics Engineering
318,EE23312,Electrical Machines – I,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,2,3,Electrical & Electronics Engineering,Electrical & Electronics Engineering
319,EE23313,Measurements and Instrumentation,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,2,3,Electrical & Electronics Engineering,Electrical & Electronics Engineering
320,EE23314,Electronic Devices and Circuits,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,2,3,Electrical & Electronics Engineering,Electrical & Electronics Engineering
321,EE23315,Power Plant Engineering,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,2,3,Electrical & Electronics Engineering,Electrical & Electronics Engineering
322,EE23321,Electronic Devices and Circuits Laboratory,Electrical & Electronics Engineering,1,0,2,0,2023,Laboratory,2023,2,3,Electrical & Electronics Engineering,Electrical & Electronics Engineering
323,EE23411,Electrical Machines – II,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,2,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering
324,EE23412,Transmission and Distribution,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,2,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering
325,EE23421,Electrical Machines Laboratory,Electrical & Electronics Engineering,2,0,4,0,2023,Laboratory,2023,2,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering
326,EE23431,Digital Logic Circuits,Electrical & Electronics Engineering,4,3,2,0,2023,LOT,2023,2,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering
327,EE23432,Linear Integrated Circuits and Applications,Electrical & Electronics Engineering,4,3,2,0,2023,LOT,2023,2,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering
328,EE23511,Power System Analysis,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,3,5,Electrical & Electronics Engineering,Electrical & Electronics Engineering
329,EE23512,Power Electronics,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,3,5,Electrical & Electronics Engineering,Electrical & Electronics Engineering
330,EE23513,Control Systems,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,3,5,Electrical & Electronics Engineering,Electrical & Electronics Engineering
331,EE23521,Control and Instrumentation Laboratory,Electrical & Electronics Engineering,1,0,2,0,2023,Laboratory,2023,3,5,Electrical & Electronics Engineering,Electrical & Electronics Engineering
332,EE23522,Innovation and Design Thinking for Electrical Engineers,Electrical & Electronics Engineering,2,0,4,0,2023,Laboratory,2023,3,5,Electrical & Electronics Engineering,Electrical & Electronics Engineering
333,EE23531,"Microprocessors, Microcontrollers and Applications",Electrical & Electronics Engineering,4,3,2,0,2023,LOT,2023,3,5,Electrical & Electronics Engineering,Electrical & Electronics Engineering
334,EE23611,Protection and Switchgear,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,3,6,Electrical & Electronics Engineering,Electrical & Electronics Engineering
335,EE23612,Solid State Drives,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,3,6,Electrical & Electronics Engineering,Electrical & Electronics Engineering
336,EE23613,Electric Energy Utilization and Conservation,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,3,6,Electrical & Electronics Engineering,Electrical & Electronics Engineering
337,EE23621,Power Electronics and Drives Laboratory,Electrical & Electronics Engineering,1,0,2,0,2023,Laboratory,2023,3,6,Electrical & Electronics Engineering,Electrical & Electronics Engineering
338,EE23622,Applications of AI and ML in Electrical Engineering,Electrical & Electronics Engineering,2,0,4,0,2023,Laboratory,2023,3,6,Electrical & Electronics Engineering,Electrical & Electronics Engineering
339,EE23631,Applications of IoT in Electrical Engineering,Electrical & Electronics Engineering,3,2,2,0,2023,LOT,2023,3,6,Electrical & Electronics Engineering,Electrical & Electronics Engineering
340,EE23711,Smart Grid,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,4,7,Electrical & Electronics Engineering,Electrical & Electronics Engineering
341,EE23712,Power System Operation and Control,Electrical & Electronics Engineering,3,3,0,0,2023,Theory,2023,4,7,Electrical & Electronics Engineering,Electrical & Electronics Engineering
342,EE23721,Power System Simulation Laboratory,Electrical & Electronics Engineering,2,0,4,0,2023,Laboratory,2023,4,7,Electrical & Electronics Engineering,Electrical & Electronics Engineering
343,EE23722,Project ( Phase-I ),Electrical & Electronics Engineering,4,0,8,0,2023,Laboratory,2023,4,7,Electrical & Electronics Engineering,Electrical & Electronics Engineering
344,EE23731,Renewable Energy Systems,Electrical & Electronics Engineering,4,3,2,0,2023,LOT,2023,4,7,Electrical & Electronics Engineering,Electrical & Electronics Engineering
345,EE23821,Project Work (Phase - II),Electrical & Electronics Engineering,6,0,12,0,2023,Laboratory,2023,4,8,Robotics & Automation,Robotics & Automation
346,FT23201,Food chemistry,Food Technology,3,3,0,0,2023,Theory,2023,1,2,Food Technology,Chemistry
347,FT23211,Food Chemistry Laboratory,Food Technology,2,0,4,0,2023,Laboratory,2023,1,2,Food Technology,Food Technology
348,FT23301,Food Microbiology,Food Technology,3,3,0,0,2023,Theory,2023,2,3,Food Technology,Food Technology
349,FT23302,Biochemistry & Nutrition,Food Technology,3,3,0,0,2023,Theory,2023,2,3,Food Technology,Food Technology
350,FT23303,Food Process Calculations,Food Technology,3,3,0,0,2023,Theory,2023,2,3,Food Technology,Food Technology
351,FT23304,"Fluid Mechanics in Food Processes",Food Technology,3,3,0,0,2023,Theory,2023,2,3,Food Technology,Civil Engineering
352,FT23305,Food Additives,Food Technology,3,3,0,0,2023,Theory,2023,2,3,Food Technology,Food Technology
353,FT23311,Food Microbiology Laboratory,Food Technology,2,0,4,0,2023,Laboratory,2023,2,3,Food Technology,Food Technology
354,FT23312,"Biochemistry & Nutrition Laboratory",Food Technology,2,0,4,0,2023,Laboratory,2023,2,3,Food Technology,Food Technology
355,FT23401,"Unit operations in Food Industries",Food Technology,3,3,0,0,2023,Theory,2023,2,4,Food Technology,Food Technology
